trade_date,open,high,low,close,volume,change_pct,article_count,avg_sentiment,max_sentiment,min_sentiment,sentiment_std,bullish_ratio,push_net_avg,news_article_count,news_avg_sentiment,news_max_sentiment,news_min_sentiment,news_sentiment_std,news_bullish_ratio,news_available,sma_5,sma_20,ema_12,volume_change_pct,price_vs_sma_5,price_vs_sma_20,intraday_volatility,volatility_5d,sentiment_lag1,sentiment_lag2,sentiment_lag3,sentiment_momentum,article_count_ma3,discussion_heat,news_sentiment_lag1,news_sentiment_lag2,sentiment_divergence,next_change_pct,label
2025-03-07,985.63,990.53,980.73,985.63,40822280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.534,1045.4550000000002,1017.990438123017,-9.659272263977947,-0.4950864887020533,-5.722388816352702,0.9942879173726403,1.6914786430812545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
2025-03-10,985.63,985.63,972.88,978.77,46849886,-0.7,7.0,-0.2214,0.85,-0.85,0.5139,0.1429,10.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.22,1039.2275,1011.9565245656298,14.765481006940329,-0.7554095435095664,-5.81754235718358,1.3026553735811273,1.5479922480426063,0.0,0.0,0.0,-0.042171428571428575,2.3333333333333335,3.0,0.0,0.0,-0.2214,-2.71,0.0
2025-03-11,950.32,960.13,944.44,952.29,50204233,-2.71,2.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.5319999999999,1032.657,1002.7770592478405,7.159776226563275,-2.8802731578367626,-7.782545414401874,1.6476073465015846,1.7561406549590504,-0.2214,0.0,0.0,-0.042171428571428575,3.0,0.6666666666666666,0.0,0.0,0.0,1.75,1.0
2025-03-12,961.11,975.82,957.19,968.96,34184887,1.75,1.0,-0.3,-0.3,-0.3,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.256,1026.6745,997.5744347481727,-31.90835720964007,-0.5435942914387939,-5.621499316482492,1.9226799867899598,1.6656920483690862,0.0,-0.2214,0.0,-0.0993142857142857,3.3333333333333335,0.3,0.0,0.0,-0.3,-2.33,0.0
2025-03-13,980.73,985.63,946.4,946.4,37035693,-2.33,2.0,0.0,0.8,-0.8,1.1314,0.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.4100000000001,1020.0545,989.7014447869154,8.339375233271952,-2.0705497666621935,-7.220643602866317,4.145181741335589,1.8125589645581195,-0.3,0.0,-0.2214,-0.025514285714285698,1.6666666666666667,1.2,0.0,0.0,0.0,-0.62,0.0
2025-03-14,946.4,950.32,936.59,940.52,34333748,-0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.3879999999999,1013.631,982.1350686658516,-7.295516246989086,-1.7618771072960953,-7.212782560912205,1.459830731935527,1.764899430562547,0.0,-0.3,0.0,-0.025514285714285725,1.0,0.0,0.0,0.0,0.0,1.15,1.0
2025-03-17,958.17,966.02,949.34,951.3,31491061,1.15,1.0,0.4,0.4,0.4,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.894,1009.2175,977.3912119480282,-8.27957087586243,-0.062401906094591515,-5.738852130487236,1.7533900977609536,2.001179652105228,0.0,0.0,-0.3,0.15067619047619046,1.0,1.0,0.0,0.0,0.4,0.57,1.0
2025-03-18,961.65,963.62,953.77,956.72,21575327,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.7800000000001,1003.8489999999999,974.2110254944853,-31.487456075233546,0.41352673229916037,-4.694829600866257,1.0295593277029875,1.6178009766346424,0.4,0.0,0.0,0.15067619047619046,0.3333333333333333,0.0,0.0,0.0,0.0,-1.96,0.0
2025-03-19,950.81,952.78,936.03,938.0,35245036,-1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.5880000000001,996.809,968.6400984953336,63.35806173412806,-0.9072584904942887,-5.899726025748159,1.7857142857142856,1.5220939524221238,0.0,0.4,0.0,0.11904761904761904,0.3333333333333333,0.0,0.0,0.0,0.0,3.47,1.0
2025-03-20,963.62,970.52,956.72,970.52,28715956,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.412,991.8855,968.9293141114362,-18.52482148124348,2.0083833291991215,-2.154028867243245,1.4219181469727522,2.034200088486873,0.0,0.0,0.4,-0.014285714285714287,0.0,0.0,0.0,0.0,0.0,-1.32,0.0
