date,open,high,low,close,volume,change_pct
2025-02-06,1098.41,1098.41,1083.7,1093.51,29971252,0.45
2025-02-07,1088.61,1103.32,1083.7,1103.32,27883220,0.9
2025-02-10,1103.32,1103.32,1073.9,1083.7,28527108,-1.78
2025-02-11,1088.61,1093.51,1078.8,1088.61,18898928,0.45
2025-02-12,1088.61,1093.51,1078.8,1078.8,24172954,-0.9
2025-02-13,1068.99,1073.9,1059.18,1068.99,33210403,-0.91
2025-02-14,1044.47,1049.38,1039.57,1039.57,64486940,-2.75
2025-02-17,1044.47,1064.09,1044.47,1064.09,35491271,2.36
2025-02-18,1064.09,1078.8,1059.18,1078.8,21616188,1.38
2025-02-19,1068.99,1073.9,1064.09,1068.99,26400293,-0.91
2025-02-20,1059.18,1064.09,1049.38,1059.18,29643124,-0.92
2025-02-21,1064.09,1073.9,1059.18,1073.9,28972910,1.39
2025-02-24,1059.18,1064.09,1054.28,1054.28,30822970,-1.83
2025-02-25,1034.67,1039.57,1029.76,1034.67,45158522,-1.86
2025-02-26,1024.86,1039.57,1024.86,1039.57,36768449,0.47
2025-02-27,1044.47,1044.47,1019.96,1019.96,55283596,-1.89
2025-03-03,980.73,1000.34,980.73,1000.34,65621663,-1.92
2025-03-04,976.8,990.53,976.8,980.73,64569262,-1.96
2025-03-05,1000.34,1010.15,995.44,1000.34,41994320,2.0
2025-03-06,1000.34,1005.24,985.63,985.63,45187017,-1.47
2025-03-07,985.63,990.53,980.73,985.63,40822280,0.0
2025-03-10,985.63,985.63,972.88,978.77,46849886,-0.7
2025-03-11,950.32,960.13,944.44,952.29,50204233,-2.71
2025-03-12,961.11,975.82,957.19,968.96,34184887,1.75
2025-03-13,980.73,985.63,946.4,946.4,37035693,-2.33
2025-03-14,946.4,950.32,936.59,940.52,34333748,-0.62
2025-03-17,958.17,966.02,949.34,951.3,31491061,1.15
2025-03-18,961.65,963.62,953.77,956.72,21575327,0.57
2025-03-19,950.81,952.78,936.03,938.0,35245036,-1.96
2025-03-20,963.62,970.52,956.72,970.52,28715956,3.47
2025-03-21,970.52,972.49,955.74,957.71,39214916,-1.32
2025-03-24,971.5,972.49,957.71,957.71,16121506,0.0
2025-03-25,974.46,980.37,970.52,975.44,26167428,1.85
2025-03-26,980.37,980.37,965.59,965.59,21735917,-1.01
2025-03-27,946.87,949.83,943.92,943.92,34563256,-2.24
2025-03-28,932.09,940.96,932.09,938.0,33101234,-0.63
2025-03-31,906.47,910.42,896.62,896.62,51064611,-4.41
2025-04-01,915.34,932.09,911.4,930.12,32197752,3.74
2025-04-02,935.05,938.0,924.21,928.15,24849656,-0.21
2025-04-07,835.53,835.53,835.53,835.53,23820773,-9.98
2025-04-08,785.28,830.61,785.28,804.0,116648736,-3.77
2025-04-09,797.11,813.86,768.53,773.46,107582838,-3.8
2025-04-10,850.31,850.31,850.31,850.31,19416428,9.94
2025-04-11,835.53,875.93,823.71,875.93,76103586,3.01
2025-04-14,881.84,889.72,852.28,852.28,66326054,-2.7
2025-04-15,861.15,866.08,852.28,864.11,30562095,1.39
2025-04-16,854.25,856.22,839.47,842.43,42128082,-2.51
2025-04-17,836.52,843.41,829.62,834.55,33684502,-0.94
2025-04-18,840.46,845.39,837.5,837.5,20101219,0.35
2025-04-21,831.59,834.55,819.77,822.72,18415705,-1.76
2025-04-22,813.86,816.81,804.0,804.0,28888527,-2.28
2025-04-23,840.46,860.16,835.53,860.16,37863656,6.99
2025-04-24,872.97,872.97,846.37,851.3,32238198,-1.03
2025-04-25,886.77,887.75,872.97,874.94,34640282,2.78
2025-04-28,884.8,884.8,879.87,883.81,21830091,1.01
2025-04-29,883.81,888.74,879.87,888.74,24362874,0.56
2025-04-30,887.75,894.65,885.78,894.65,35405654,0.67
2025-05-02,924.21,936.03,918.3,936.03,43873135,4.63
